[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,1,3,2.500000,64,8,3

             N,      Size(kB),     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,  0.3675707710,  0.0009926286,     19.852571,      6.617524,      0.827190
           768,         21.50,  0.4909718230,  0.0009687491,     19.374981,      6.458327,      0.807291
          1152,         32.26,  0.4984800330,  0.0010116390,     20.232781,      6.744260,      0.843033
          1728,         48.38,  0.4970518670,  0.0012610566,     25.221133,      8.407044,      1.050881
          2592,         72.58,  0.4988269020,  0.0012668763,     25.337527,      8.445842,      1.055730
          3888,        108.86,  0.4961823530,  0.0012629659,     25.259319,      8.419773,      1.052472
          5832,        163.30,  0.4993122980,  0.0012598550,     25.197099,      8.399033,      1.049879
          8752,        245.06,  0.4992050750,  0.0012589161,     25.178322,      8.392774,      1.049097
         13128,        367.58,  0.4995719430,  0.0012593132,     25.186264,      8.395421,      1.049428
         19696,        551.49,  0.4984159670,  0.0012569136,     25.138272,      8.379424,      1.047428
         29544,        827.23,  0.4975144040,  0.0013446006,     26.892012,      8.964004,      1.120501
         44320,       1240.96,  0.4971096630,  0.0017378948,     34.757897,     11.585966,      1.448246
         66480,       1861.44,  0.4998808040,  0.0024405278,     48.810555,     16.270185,      2.033773
         99720,       2792.16,  0.4999852880,  0.0024747738,     49.495477,     16.498492,      2.062312
        149584,       4188.35,  0.4998847100,  0.0024735994,     49.471987,     16.490662,      2.061333
        224376,       6282.53,  0.4994024660,  0.0024730436,     49.460872,     16.486957,      2.060870
        336568,       9423.90,  0.4992961520,  0.0024724877,     49.449755,     16.483252,      2.060406
        504856,      14135.97,  0.4979956750,  0.0024722088,     49.444177,     16.481392,      2.060174
        757288,      21204.06,  0.4937725440,  0.0027167809,     54.335619,     18.111873,      2.263984
       1135936,      31806.21,  0.4943368910,  0.0031307930,     62.615861,     20.871954,      2.608994
       1703904,      47709.31,  0.4929630840,  0.0040182484,     80.364968,     26.788323,      3.348540
       2555856,      71563.97,  0.4930833990,  0.0045934047,     91.868094,     30.622698,      3.827837
       3833784,     107345.95,  0.4930560350,  0.0047632664,     95.265329,     31.755110,      3.969389
       5750680,     161019.04,  0.4740004060,  0.0048485356,     96.970712,     32.323571,      4.040446
       8626024,     241528.67,  0.4649040180,  0.0048995924,     97.991848,     32.663949,      4.082994
      12939040,     362293.12,  0.4465355220,  0.0049301021,     98.602043,     32.867348,      4.108418
      19408560,     543439.68,  0.4800244470,  0.0049465230,     98.930461,     32.976820,      4.122103
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,3,3,2.500000,64,8,8

             N,      Size(kB),     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,  0.3584768620,  0.0009675513,     19.351026,      6.450342,      0.806293
           768,         21.50,  0.4961076490,  0.0009788827,     19.577654,      6.525885,      0.815736
          1152,         32.26,  0.4870578790,  0.0009993483,     19.986967,      6.662322,      0.832790
          1728,         48.38,  0.4984106020,  0.0013667758,     27.335516,      9.111839,      1.138980
          2592,         72.58,  0.4986548370,  0.0013591598,     27.183195,      9.061065,      1.132633
          3888,        108.86,  0.4942082830,  0.0013506517,     27.013034,      9.004345,      1.125543
          5832,        163.30,  0.4963078500,  0.0013504633,     27.009267,      9.003089,      1.125386
          8752,        245.06,  0.4991843450,  0.0013477458,     26.954916,      8.984972,      1.123122
         13128,        367.58,  0.4976032720,  0.0013494719,     26.989438,      8.996479,      1.124560
         19696,        551.49,  0.4983359560,  0.0013503431,     27.006862,      9.002287,      1.125286
         29544,        827.23,  0.4986042360,  0.0013520803,     27.041606,      9.013869,      1.126734
         44320,       1240.96,  0.4989780260,  0.0021676029,     43.352058,     14.450686,      1.806336
         66480,       1861.44,  0.4999352850,  0.0032838801,     65.677603,     21.892534,      2.736567
         99720,       2792.16,  0.4998509310,  0.0034029494,     68.058988,     22.686329,      2.835791
        149584,       4188.35,  0.5000338300,  0.0034110507,     68.221013,     22.740338,      2.842542
        224376,       6282.53,  0.4997698200,  0.0034057744,     68.115488,     22.705163,      2.838145
        336568,       9423.90,  0.4986503540,  0.0034137647,     68.275294,     22.758431,      2.844804
        504856,      14135.97,  0.4974207980,  0.0034092478,     68.184957,     22.728319,      2.841040
        757288,      21204.06,  0.4950900810,  0.0034960815,     69.921629,     23.307210,      2.913401
       1135936,      31806.21,  0.4970237630,  0.0048081931,     96.163861,     32.054620,      4.006828
       1703904,      47709.31,  0.4863386430,  0.0055965898,    111.931797,     37.310599,      4.663825
       2555856,      71563.97,  0.4926789730,  0.0064254921,    128.509841,     42.836614,      5.354577
       3833784,     107345.95,  0.4909503310,  0.0067399444,    134.798889,     44.932963,      5.616620
       5750680,     161019.04,  0.4772794780,  0.0069162760,    138.325519,     46.108506,      5.763563
       8626024,     241528.67,  0.4821261780,  0.0069865064,    139.730129,     46.576710,      5.822089
      12939040,     362293.12,  0.4548705190,  0.0070309779,    140.619557,     46.873186,      5.859148
      19408560,     543439.68,  0.4107489930,  0.0070544302,    141.088603,     47.029534,      5.878692
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,4,3,2.500000,64,8,8

             N,      Size(kB),     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,  0.3558291360,  0.0009614892,     19.229783,      6.409928,      0.801241
           768,         21.50,  0.4971166300,  0.0009611840,     19.223681,      6.407894,      0.800987
          1152,         32.26,  0.4964943540,  0.0009851191,     19.702382,      6.567461,      0.820933
          1728,         48.38,  0.4989109490,  0.0010032580,     20.065161,      6.688387,      0.836048
          2592,         72.58,  0.4990193140,  0.0013563872,     27.127744,      9.042581,      1.130323
          3888,        108.86,  0.4928414910,  0.0013504751,     27.009502,      9.003167,      1.125396
          5832,        163.30,  0.4976412480,  0.0013533828,     27.067656,      9.022552,      1.127819
          8752,        245.06,  0.4986033810,  0.0013465909,     26.931818,      8.977273,      1.122159
         13128,        367.58,  0.4967756450,  0.0013635386,     27.270772,      9.090257,      1.136282
         19696,        551.49,  0.4974813780,  0.0013816526,     27.633051,      9.211017,      1.151377
         29544,        827.23,  0.4979870860,  0.0014041801,     28.083601,      9.361200,      1.170150
         44320,       1240.96,  0.4982184760,  0.0017125825,     34.251650,     11.417217,      1.427152
         66480,       1861.44,  0.4991644470,  0.0024879027,     49.758055,     16.586018,      2.073252
         99720,       2792.16,  0.4987469960,  0.0031555042,     63.110083,     21.036694,      2.629587
        149584,       4188.35,  0.5005143990,  0.0032019544,     64.039088,     21.346363,      2.668295
        224376,       6282.53,  0.4999057840,  0.0032011242,     64.022483,     21.340828,      2.667603
        336568,       9423.90,  0.4988108320,  0.0032009734,     64.019468,     21.339823,      2.667478
        504856,      14135.97,  0.4977691000,  0.0032011771,     64.023541,     21.341180,      2.667648
        757288,      21204.06,  0.4955071780,  0.0032391981,     64.783961,     21.594654,      2.699332
       1135936,      31806.21,  0.4926658670,  0.0041702805,     83.405611,     27.801870,      3.475234
       1703904,      47709.31,  0.4926284830,  0.0057823502,    115.647004,     38.549001,      4.818625
       2555856,      71563.97,  0.4780205070,  0.0071934429,    143.868857,     47.956286,      5.994536
       3833784,     107345.95,  0.4836099720,  0.0078840183,    157.680366,     52.560122,      6.570015
       5750680,     161019.04,  0.4736267590,  0.0082360131,    164.720262,     54.906754,      6.863344
       8626024,     241528.67,  0.4332163590,  0.0083703368,    167.406737,     55.802246,      6.975281
      12939040,     362293.12,  0.4377357000,  0.0084576541,    169.153082,     56.384361,      7.048045
      19408560,     543439.68,  0.4955972830,  0.0085116616,    170.233231,     56.744410,      7.093051
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,5,3,2.500000,64,8,8

             N,      Size(kB),     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,  0.3628168420,  0.0009740077,     19.480154,      6.493385,      0.811673
           768,         21.50,  0.4974365370,  0.0009922177,     19.844354,      6.614785,      0.826848
          1152,         32.26,  0.4965019580,  0.0009858237,     19.716474,      6.572158,      0.821520
          1728,         48.38,  0.4982359840,  0.0012004339,     24.008677,      8.002892,      1.000362
          2592,         72.58,  0.4992123470,  0.0014560595,     29.121190,      9.707063,      1.213383
          3888,        108.86,  0.4952982920,  0.0014417657,     28.835315,      9.611772,      1.201471
          5832,        163.30,  0.4978543300,  0.0014395367,     28.790735,      9.596912,      1.199614
          8752,        245.06,  0.4974126820,  0.0014248082,     28.496163,      9.498721,      1.187340
         13128,        367.58,  0.4936785170,  0.0014366216,     28.732431,      9.577477,      1.197185
         19696,        551.49,  0.4978259410,  0.0014582291,     29.164581,      9.721527,      1.215191
         29544,        827.23,  0.4929287460,  0.0016431518,     32.863036,     10.954345,      1.369293
         44320,       1240.96,  0.4968367250,  0.0017475004,     34.950008,     11.650003,      1.456250
         66480,       1861.44,  0.4993680610,  0.0029193755,     58.387511,     19.462504,      2.432813
         99720,       2792.16,  0.4997402880,  0.0038608898,     77.217795,     25.739265,      3.217408
        149584,       4188.35,  0.4997897690,  0.0039169965,     78.339931,     26.113310,      3.264164
        224376,       6282.53,  0.5000516630,  0.0039167532,     78.335064,     26.111688,      3.263961
        336568,       9423.90,  0.4992927510,  0.0039142019,     78.284039,     26.094680,      3.261835
        504856,      14135.97,  0.4982581590,  0.0039163938,     78.327876,     26.109292,      3.263662
        757288,      21204.06,  0.4962999960,  0.0039719087,     79.438173,     26.479391,      3.309924
       1135936,      31806.21,  0.4924615920,  0.0051610637,    103.221273,     34.407091,      4.300886
       1703904,      47709.31,  0.4972391310,  0.0072955861,    145.911721,     48.637240,      6.079655
       2555856,      71563.97,  0.4967770970,  0.0084507907,    169.015815,     56.338605,      7.042326
       3833784,     107345.95,  0.4897975780,  0.0091255901,    182.511802,     60.837267,      7.604658
       5750680,     161019.04,  0.4862546090,  0.0093951133,    187.902265,     62.634088,      7.829261
       8626024,     241528.67,  0.4984116320,  0.0096299993,    192.599987,     64.199996,      8.024999
      12939040,     362293.12,  0.3765001000,  0.0096993311,    193.986622,     64.662207,      8.082776
      19408560,     543439.68,  0.3780330550,  0.0097388228,    194.776457,     64.925486,      8.115686
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,6,3,2.500000,64,8,8

             N,      Size(kB),     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,  0.3639571790,  0.0009858839,     19.717679,      6.572560,      0.821570
           768,         21.50,  0.4980722370,  0.0010106728,     20.213456,      6.737819,      0.842227
          1152,         32.26,  0.5012217200,  0.0009665493,     19.330986,      6.443662,      0.805458
          1728,         48.38,  0.4963742160,  0.0010045342,     20.090685,      6.696895,      0.837112
          2592,         72.58,  0.4900082750,  0.0013738238,     27.476477,      9.158826,      1.144853
          3888,        108.86,  0.4951118540,  0.0014654880,     29.309761,      9.769920,      1.221240
          5832,        163.30,  0.4908107050,  0.0014348003,     28.696007,      9.565336,      1.195667
          8752,        245.06,  0.4931665830,  0.0014392740,     28.785480,      9.595160,      1.199395
         13128,        367.58,  0.4983473920,  0.0014660583,     29.321167,      9.773722,      1.221715
         19696,        551.49,  0.4954716460,  0.0014685320,     29.370640,      9.790213,      1.223777
         29544,        827.23,  0.4977616360,  0.0014849415,     29.698830,      9.899610,      1.237451
         44320,       1240.96,  0.5001287910,  0.0022447771,     44.895542,     14.965181,      1.870648
         66480,       1861.44,  0.4990919970,  0.0025657555,     51.315111,     17.105037,      2.138130
         99720,       2792.16,  0.4993483300,  0.0036155266,     72.310532,     24.103511,      3.012939
        149584,       4188.35,  0.4999085390,  0.0039456813,     78.913626,     26.304542,      3.288068
        224376,       6282.53,  0.4991365120,  0.0039442446,     78.884891,     26.294964,      3.286870
        336568,       9423.90,  0.4986000350,  0.0039399584,     78.799168,     26.266389,      3.283299
        504856,      14135.97,  0.4982265570,  0.0039474746,     78.949492,     26.316497,      3.289562
        757288,      21204.06,  0.4957189020,  0.0039672581,     79.345163,     26.448388,      3.306048
       1135936,      31806.21,  0.4977813490,  0.0050954941,    101.909883,     33.969961,      4.246245
       1703904,      47709.31,  0.4945327160,  0.0058047016,    116.094033,     38.698011,      4.837251
       2555856,      71563.97,  0.4789396700,  0.0081473541,    162.947082,     54.315694,      6.789462
       3833784,     107345.95,  0.4678032650,  0.0093862530,    187.725060,     62.575020,      7.821877
       5750680,     161019.04,  0.4693052490,  0.0102010816,    204.021633,     68.007211,      8.500901
       8626024,     241528.67,  0.4486627250,  0.0104025383,    208.050766,     69.350255,      8.668782
      12939040,     362293.12,  0.4078624620,  0.0105072829,    210.145658,     70.048553,      8.756069
      19408560,     543439.68,  0.4086486610,  0.0105275368,    210.550737,     70.183579,      8.772947
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,7,3,2.500000,64,8,8

             N,      Size(kB),     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,  0.3582676220,  0.0009787292,     19.574584,      6.524861,      0.815608
           768,         21.50,  0.4978505770,  0.0009773307,     19.546614,      6.515538,      0.814442
          1152,         32.26,  0.4972866370,  0.0009841963,     19.683926,      6.561309,      0.820164
          1728,         48.38,  0.4969596200,  0.0010856270,     21.712541,      7.237514,      0.904689
          2592,         72.58,  0.4928644820,  0.0013449736,     26.899472,      8.966491,      1.120811
          3888,        108.86,  0.4966752930,  0.0014735751,     29.471503,      9.823834,      1.227979
          5832,        163.30,  0.4980928840,  0.0014638251,     29.276501,      9.758834,      1.219854
          8752,        245.06,  0.4970379860,  0.0014566369,     29.132738,      9.710913,      1.213864
         13128,        367.58,  0.4953137710,  0.0014822648,     29.645296,      9.881765,      1.235221
         19696,        551.49,  0.4976358860,  0.0014980336,     29.960672,      9.986891,      1.248361
         29544,        827.23,  0.4984623840,  0.0015802065,     31.604131,     10.534710,      1.316839
         44320,       1240.96,  0.5010556550,  0.0022529708,     45.059416,     15.019805,      1.877476
         66480,       1861.44,  0.4997707720,  0.0027750502,     55.501003,     18.500334,      2.312542
         99720,       2792.16,  0.4997810880,  0.0037485745,     74.971489,     24.990496,      3.123812
        149584,       4188.35,  0.4998070510,  0.0040111808,     80.223615,     26.741205,      3.342651
        224376,       6282.53,  0.4999935600,  0.0040150876,     80.301752,     26.767251,      3.345906
        336568,       9423.90,  0.4986866010,  0.0040153972,     80.307944,     26.769315,      3.346164
        504856,      14135.97,  0.4971438650,  0.0040192820,     80.385640,     26.795213,      3.349402
        757288,      21204.06,  0.4958678520,  0.0040924643,     81.849285,     27.283095,      3.410387
       1135936,      31806.21,  0.4942312030,  0.0055074328,    110.148656,     36.716219,      4.589527
       1703904,      47709.31,  0.4881949730,  0.0079587650,    159.175299,     53.058433,      6.632304
       2555856,      71563.97,  0.4861251390,  0.0095100260,    190.200520,     63.400173,      7.925022
       3833784,     107345.95,  0.4721953030,  0.0102639086,    205.278172,     68.426057,      8.553257
       5750680,     161019.04,  0.4959962670,  0.0107812525,    215.625051,     71.875017,      8.984377
       8626024,     241528.67,  0.4769594670,  0.0110586167,    221.172335,     73.724112,      9.215514
      12939040,     362293.12,  0.4324361800,  0.0111403468,    222.806937,     74.268979,      9.283622
      19408560,     543439.68,  0.4343213720,  0.0111889128,    223.778257,     74.592752,      9.324094
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,8,3,2.500000,64,8,8

             N,      Size(kB),     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,  0.3515172210,  0.0009567726,     19.135452,      6.378484,      0.797311
           768,         21.50,  0.4988671890,  0.0009946295,     19.892590,      6.630863,      0.828858
          1152,         32.26,  0.5053673930,  0.0010031373,     20.062745,      6.687582,      0.835948
          1728,         48.38,  0.5167454740,  0.0010046953,     20.093905,      6.697968,      0.837246
          2592,         72.58,  0.4965691740,  0.0009815885,     19.631770,      6.543923,      0.817990
          3888,        108.86,  0.4936491660,  0.0012044869,     24.089739,      8.029913,      1.003739
          5832,        163.30,  0.4970611530,  0.0014190803,     28.381607,      9.460536,      1.182567
          8752,        245.06,  0.4976872390,  0.0014187302,     28.374604,      9.458201,      1.182275
         13128,        367.58,  0.4981221990,  0.0014601514,     29.203028,      9.734343,      1.216793
         19696,        551.49,  0.4978181560,  0.0014972507,     29.945014,      9.981671,      1.247709
         29544,        827.23,  0.4993623220,  0.0015175369,     30.350738,     10.116913,      1.264614
         44320,       1240.96,  0.4987290820,  0.0015318422,     30.636843,     10.212281,      1.276535
         66480,       1861.44,  0.4976030310,  0.0014964021,     29.928043,      9.976014,      1.247002
         99720,       2792.16,  0.4994595240,  0.0025206942,     50.413884,     16.804628,      2.100578
        149584,       4188.35,  0.4992911270,  0.0033647828,     67.295656,     22.431885,      2.803986
        224376,       6282.53,  0.4981475610,  0.0036276901,     72.553803,     24.184601,      3.023075
        336568,       9423.90,  0.4999666400,  0.0036231336,     72.462672,     24.154224,      3.019278
        504856,      14135.97,  0.4975896070,  0.0036235551,     72.471103,     24.157034,      3.019629
        757288,      21204.06,  0.4953223380,  0.0036337441,     72.674881,     24.224960,      3.028120
       1135936,      31806.21,  0.4947130910,  0.0038202755,     76.405511,     25.468504,      3.183563
       1703904,      47709.31,  0.4943300870,  0.0040861431,     81.722862,     27.240954,      3.405119
       2555856,      71563.97,  0.4876654480,  0.0054515194,    109.030388,     36.343463,      4.542933
       3833784,     107345.95,  0.4790155130,  0.0078091175,    156.182349,     52.060783,      6.507598
       5750680,     161019.04,  0.4725635960,  0.0091305839,    182.611678,     60.870559,      7.608820
       8626024,     241528.67,  0.4274946830,  0.0099117434,    198.234868,     66.078289,      8.259786
      12939040,     362293.12,  0.3990299050,  0.0102797401,    205.594802,     68.531601,      8.566450
      19408560,     543439.68,  0.4027573070,  0.0103757648,    207.515296,     69.171765,      8.646471
