INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
         19696,        551.49,          4924,  0.4986179790,  0.0012566116,     24.126943,      8.042314,      1.005289
         29544,        827.23,          7386,  0.4984645960,  0.0012583487,     24.160296,      8.053432,      1.006679
         44320,       1240.96,         11080,  0.4987646310,  0.0017507334,     33.614082,     11.204694,      1.400587
         66480,       1861.44,         16620,  0.4994464350,  0.0024297323,     46.650860,     15.550287,      1.943786
         99720,       2792.16,         24930,  0.4996473440,  0.0024706622,     47.436713,     15.812238,      1.976530
        149584,       4188.35,         37396,  0.4999404230,  0.0024720453,     47.463269,     15.821090,      1.977636
        224376,       6282.53,         56094,  0.4994890570,  0.0024734724,     47.490670,     15.830223,      1.978778
        336568,       9423.90,         84142,  0.4992193670,  0.0024721075,     47.464464,     15.821488,      1.977686
        504856,      14135.97,        126214,  0.4983034490,  0.0024737367,     47.495745,     15.831915,      1.978989
        757288,      21204.06,        189322,  0.4930253350,  0.0025531009,     49.019538,     16.339846,      2.042481
       1135936,      31806.21,        283984,  0.4917586320,  0.0033300808,     63.937552,     21.312517,      2.664065
       1703904,      47709.31,        425976,  0.4914789310,  0.0040625754,     78.001448,     26.000483,      3.250060
       2555856,      71563.97,        638964,  0.4887730000,  0.0045532504,     87.422408,     29.140803,      3.642600
       3833784,     107345.95,        958446,  0.4925050760,  0.0047579438,     91.352521,     30.450840,      3.806355
       5750680,     161019.04,       1437670,  0.4732151950,  0.0048405037,     92.937671,     30.979224,      3.872403
       8626024,     241528.67,       2156506,  0.4642181100,  0.0048923637,     93.933382,     31.311127,      3.913891
      12939040,     362293.12,       3234760,  0.4463134340,  0.0049276501,     94.610882,     31.536961,      3.942120
      19408560,     543439.68,       4852140,  0.4791535520,  0.0049375487,     94.800935,     31.600312,      3.950039
      29112840,     815159.52,       7278210,  0.4320947470,  0.0049473560,     94.989234,     31.663078,      3.957885
      43669264,    1222739.39,      10917316,  0.4332280790,  0.0049603318,     95.238371,     31.746124,      3.968265
      65503896,    1834109.09,      16375974,  0.3252469860,  0.0049653075,     95.333904,     31.777968,      3.972246
INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,3,3,2.400000,64,8,8

             N,      Size(kB),       cut CLs,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,           128,  0.3364882300,  0.0009685611,     18.596373,      6.198791,      0.774849
           768,         21.50,           192,  0.4434931000,  0.0009733644,     18.688596,      6.229532,      0.778692
          1152,         32.26,           288,  0.4467116400,  0.0009913297,     19.033531,      6.344510,      0.793064
          1728,         48.38,           432,  0.4916336510,  0.0013594586,     26.101605,      8.700535,      1.087567
          2592,         72.58,           648,  0.4954217660,  0.0013536085,     25.989284,      8.663095,      1.082887
          3888,        108.86,           972,  0.4953373760,  0.0013532773,     25.982925,      8.660975,      1.082622
          5832,        163.30,          1458,  0.4968582030,  0.0013483021,     25.887400,      8.629133,      1.078642
          8752,        245.06,          2188,  0.4985606110,  0.0013492500,     25.905600,      8.635200,      1.079400
         13128,        367.58,          3282,  0.4971098260,  0.0013470786,     25.863909,      8.621303,      1.077663
         19696,        551.49,          4924,  0.4986426650,  0.0013504535,     25.928706,      8.642902,      1.080363
         29544,        827.23,          7386,  0.4978597860,  0.0013503861,     25.927414,      8.642471,      1.080309
         44320,       1240.96,         11080,  0.4993299440,  0.0021455856,     41.195243,     13.731748,      1.716468
         66480,       1861.44,         16620,  0.4990939750,  0.0032754932,     62.889470,     20.963157,      2.620395
         99720,       2792.16,         24930,  0.4998052810,  0.0034026386,     65.330661,     21.776887,      2.722111
        149584,       4188.35,         37396,  0.4995481600,  0.0034112184,     65.495394,     21.831798,      2.728975
        224376,       6282.53,         56094,  0.4993609320,  0.0034081993,     65.437426,     21.812475,      2.726559
        336568,       9423.90,         84142,  0.4998372110,  0.0034140235,     65.549251,     21.849750,      2.731219
        504856,      14135.97,        126214,  0.4972029890,  0.0034077550,     65.428896,     21.809632,      2.726204
        757288,      21204.06,        189322,  0.4972370330,  0.0034377083,     66.004000,     22.001333,      2.750167
       1135936,      31806.21,        283984,  0.4955556380,  0.0041155956,     79.019435,     26.339812,      3.292476
       1703904,      47709.31,        425976,  0.4955704320,  0.0055931558,    107.388592,     35.796197,      4.474525
       2555856,      71563.97,        638964,  0.4901753200,  0.0063928396,    122.742519,     40.914173,      5.114272
       3833784,     107345.95,        958446,  0.4907373740,  0.0067370209,    129.350801,     43.116934,      5.389617
       5750680,     161019.04,       1437670,  0.4769373310,  0.0069113179,    132.697304,     44.232435,      5.529054
       8626024,     241528.67,       2156506,  0.4824880070,  0.0069917497,    134.241595,     44.747198,      5.593400
      12939040,     362293.12,       3234760,  0.4552583830,  0.0070369731,    135.109884,     45.036628,      5.629578
      19408560,     543439.68,       4852140,  0.4109456380,  0.0070578074,    135.509903,     45.169968,      5.646246
      29112840,     815159.52,       7278210,  0.4121237030,  0.0070780402,    135.898372,     45.299457,      5.662432
      43669264,    1222739.39,      10917316,  0.3092120850,  0.0070807716,    135.950815,     45.316938,      5.664617
      65503896,    1834109.09,      16375974,  0.4653455020,  0.0071040889,    136.398507,     45.466169,      5.683271
INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,4,3,2.400000,64,8,8

             N,      Size(kB),       cut CLs,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,             0,  0.3065106550,  0.0010084812,     19.362840,      6.454280,      0.806785
           768,         21.50,             0,  0.4436464170,  0.0009610269,     18.451716,      6.150572,      0.768822
          1152,         32.26,             0,  0.4653688280,  0.0009651559,     18.530993,      6.176998,      0.772125
          1728,         48.38,             0,  0.4819279970,  0.0009975660,     19.153267,      6.384422,      0.798053
          2592,         72.58,             0,  0.4964569870,  0.0013553716,     26.023134,      8.674378,      1.084297
          3888,        108.86,             0,  0.4946272850,  0.0013504193,     25.928051,      8.642684,      1.080335
          5832,        163.30,             0,  0.4977499390,  0.0013498461,     25.917045,      8.639015,      1.079877
          8752,        245.06,             0,  0.4972055390,  0.0013474658,     25.871343,      8.623781,      1.077973
         13128,        367.58,             0,  0.4987481730,  0.0013651650,     26.211168,      8.737056,      1.092132
         19696,        551.49,             0,  0.4980589660,  0.0013801613,     26.499097,      8.833032,      1.104129
         29544,        827.23,             0,  0.4986177980,  0.0013791882,     26.480413,      8.826804,      1.103351
         44320,       1240.96,             0,  0.4980525860,  0.0015538784,     29.834465,      9.944822,      1.243103
         66480,       1861.44,             0,  0.4992112190,  0.0024914380,     47.835609,     15.945203,      1.993150
         99720,       2792.16,             0,  0.4995154680,  0.0031723752,     60.909603,     20.303201,      2.537900
        149584,       4188.35,             0,  0.5000459060,  0.0031989573,     61.419980,     20.473327,      2.559166
        224376,       6282.53,             0,  0.4989892840,  0.0031998529,     61.437176,     20.479059,      2.559882
        336568,       9423.90,             0,  0.4986693020,  0.0032000652,     61.441251,     20.480417,      2.560052
        504856,      14135.97,             0,  0.4978943470,  0.0032019825,     61.478064,     20.492688,      2.561586
        757288,      21204.06,             0,  0.4958353770,  0.0032253763,     61.927226,     20.642409,      2.580301
       1135936,      31806.21,             0,  0.4911365220,  0.0038262199,     73.463422,     24.487807,      3.060976
       1703904,      47709.31,             0,  0.4933273820,  0.0057905537,    111.178631,     37.059544,      4.632443
       2555856,      71563.97,             0,  0.4791885570,  0.0072110201,    138.451587,     46.150529,      5.768816
       3833784,     107345.95,             0,  0.4836234590,  0.0078842382,    151.377373,     50.459124,      6.307391
       5750680,     161019.04,             0,  0.4740891040,  0.0082440529,    158.285817,     52.761939,      6.595242
       8626024,     241528.67,             0,  0.4332518800,  0.0083710232,    160.723645,     53.574548,      6.696819
      12939040,     362293.12,             0,  0.4382742260,  0.0084680592,    162.586736,     54.195579,      6.774447
      19408560,     543439.68,             0,  0.4958899310,  0.0085166877,    163.520403,     54.506801,      6.813350
      29112840,     815159.52,             0,  0.4962502080,  0.0085228753,    163.639205,     54.546402,      6.818300
      43669264,    1222739.39,             0,  0.3742035780,  0.0085690379,    164.525528,     54.841843,      6.855230
      65503896,    1834109.09,             0,  0.0000000560,           inf,           inf,           inf,           inf
INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,5,3,2.400000,64,8,8

             N,      Size(kB),       cut CLs,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,           128,  0.3371443310,  0.0009760207,     18.739597,      6.246532,      0.780817
           768,         21.50,           192,  0.4195683240,  0.0009809170,     18.833607,      6.277869,      0.784734
          1152,         32.26,           288,  0.4591125300,  0.0009874044,     18.958165,      6.319388,      0.789924
          1728,         48.38,           432,  0.4876516950,  0.0011943350,     22.931233,      7.643744,      0.955468
          2592,         72.58,           648,  0.4903678460,  0.0014325369,     27.504709,      9.168236,      1.146030
          3888,        108.86,           972,  0.4859302550,  0.0014221415,     27.305117,      9.101706,      1.137713
          5832,        163.30,          1458,  0.4942676290,  0.0014282025,     27.421488,      9.140496,      1.142562
          8752,        245.06,          2188,  0.4932299580,  0.0014204476,     27.272593,      9.090864,      1.136358
         13128,        367.58,          3282,  0.4938907570,  0.0014376236,     27.602374,      9.200791,      1.150099
         19696,        551.49,          4924,  0.4987690420,  0.0014524444,     27.886932,      9.295644,      1.161955
         29544,        827.23,          7386,  0.4970450150,  0.0015057630,     28.910650,      9.636883,      1.204610
         44320,       1240.96,         11080,  0.4990403050,  0.0018320753,     35.175845,     11.725282,      1.465660
         66480,       1861.44,         16620,  0.4989678190,  0.0028121142,     53.992592,     17.997531,      2.249691
         99720,       2792.16,         24930,  0.4997683140,  0.0038403954,     73.735591,     24.578530,      3.072316
        149584,       4188.35,         37396,  0.5000146870,  0.0039187593,     75.240178,     25.080059,      3.135007
        224376,       6282.53,         56094,  0.4998150570,  0.0039148999,     75.166079,     25.055360,      3.131920
        336568,       9423.90,         84142,  0.4994568790,  0.0039154886,     75.177382,     25.059127,      3.132391
        504856,      14135.97,        126214,  0.4980234610,  0.0039145491,     75.159342,     25.053114,      3.131639
        757288,      21204.06,        189322,  0.4954849370,  0.0040140407,     77.069582,     25.689861,      3.211233
       1135936,      31806.21,        283984,  0.4934817400,  0.0049934186,     95.873636,     31.957879,      3.994735
       1703904,      47709.31,        425976,  0.4956335190,  0.0072720282,    139.622942,     46.540981,      5.817623
       2555856,      71563.97,        638964,  0.4976691110,  0.0084659650,    162.546528,     54.182176,      6.772772
       3833784,     107345.95,        958446,  0.4902247920,  0.0091335497,    175.364154,     58.454718,      7.306840
       5750680,     161019.04,       1437670,  0.4874899030,  0.0094189808,    180.844432,     60.281477,      7.535185
       8626024,     241528.67,       2156506,  0.4992175990,  0.0096455717,    185.194977,     61.731659,      7.716457
      12939040,     362293.12,       3234760,  0.3765585310,  0.0097008364,    186.256059,     62.085353,      7.760669
      19408560,     543439.68,       4852140,  0.3786179800,  0.0097538916,    187.274718,     62.424906,      7.803113
      29112840,     815159.52,       7278210,  0.2843586110,  0.0097674638,    187.535305,     62.511768,      7.813971
      43669264,    1222739.39,      10917316,  0.4284673860,  0.0098116466,    188.383615,     62.794538,      7.849317
      65503896,    1834109.09,      16375974,  0.0000000550,           inf,           inf,           inf,           inf
INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,6,3,2.400000,64,8,8

             N,      Size(kB),       cut CLs,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,           128,  0.3515041220,  0.0010124011,     19.438102,      6.479367,      0.809921
           768,         21.50,           192,  0.4507588050,  0.0010089502,     19.371845,      6.457282,      0.807160
          1152,         32.26,           288,  0.4605230540,  0.0009957545,     19.118487,      6.372829,      0.796604
          1728,         48.38,           432,  0.4837125960,  0.0009955660,     19.114867,      6.371622,      0.796453
          2592,         72.58,           648,  0.4912721110,  0.0013727086,     26.356005,      8.785335,      1.098167
          3888,        108.86,           972,  0.4912949920,  0.0014497858,     27.835887,      9.278629,      1.159829
          5832,        163.30,          1458,  0.4905142350,  0.0014391845,     27.632342,      9.210781,      1.151348
          8752,        245.06,          2188,  0.4920371430,  0.0014334880,     27.522970,      9.174323,      1.146790
         13128,        367.58,          3282,  0.4936486140,  0.0014558900,     27.953089,      9.317696,      1.164712
         19696,        551.49,          4924,  0.4976796660,  0.0014740437,     28.301640,      9.433880,      1.179235
         29544,        827.23,          7386,  0.4986901030,  0.0014864013,     28.538905,      9.512968,      1.189121
         44320,       1240.96,         11080,  0.5060141970,  0.0021076773,     40.467404,     13.489135,      1.686142
         66480,       1861.44,         16620,  0.4980006890,  0.0023803575,     45.702864,     15.234288,      1.904286
         99720,       2792.16,         24930,  0.4996932380,  0.0036549694,     70.175413,     23.391804,      2.923976
        149584,       4188.35,         37396,  0.4994610850,  0.0039421496,     75.689273,     25.229758,      3.153720
        224376,       6282.53,         56094,  0.4999483040,  0.0039436671,     75.718409,     25.239470,      3.154934
        336568,       9423.90,         84142,  0.4990871660,  0.0039438077,     75.721109,     25.240370,      3.155046
        504856,      14135.97,        126214,  0.4976354890,  0.0039427915,     75.701597,     25.233866,      3.154233
        757288,      21204.06,        189322,  0.4966801120,  0.0039991882,     76.784414,     25.594805,      3.199351
       1135936,      31806.21,        283984,  0.4933460410,  0.0061170134,    117.446658,     39.148886,      4.893611
       1703904,      47709.31,        425976,  0.4941029580,  0.0057996572,    111.353419,     37.117806,      4.639726
       2555856,      71563.97,        638964,  0.4762579250,  0.0081017343,    155.553299,     51.851100,      6.481387
       3833784,     107345.95,        958446,  0.4686650310,  0.0094035439,    180.548043,     60.182681,      7.522835
       5750680,     161019.04,       1437670,  0.4698890240,  0.0102137709,    196.104401,     65.368134,      8.171017
       8626024,     241528.67,       2156506,  0.4495714780,  0.0104236083,    200.133280,     66.711093,      8.338887
      12939040,     362293.12,       3234760,  0.4085183210,  0.0105241790,    202.064238,     67.354746,      8.419343
      19408560,     543439.68,       4852140,  0.4091986280,  0.0105417050,    202.400736,     67.466912,      8.433364
      29112840,     815159.52,       7278210,  0.3073521350,  0.0105572708,    202.699599,     67.566533,      8.445817
      43669264,    1222739.39,      10917316,  0.4630324650,  0.0106031662,    203.580791,     67.860264,      8.482533
      65503896,    1834109.09,      16375974,  0.0000000540,           inf,           inf,           inf,           inf
INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,7,3,2.400000,64,8,8

             N,      Size(kB),       cut CLs,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,           128,  0.3416038790,  0.0009884899,     18.979005,      6.326335,      0.790792
           768,         21.50,           192,  0.4410453990,  0.0009746309,     18.712913,      6.237638,      0.779705
          1152,         32.26,           288,  0.4579319680,  0.0009746342,     18.712976,      6.237659,      0.779707
          1728,         48.38,           432,  0.4859120730,  0.0010829721,     20.793064,      6.931021,      0.866378
          2592,         72.58,           648,  0.4911475790,  0.0013503652,     25.927012,      8.642337,      1.080292
          3888,        108.86,           972,  0.4881460290,  0.0014505790,     27.851116,      9.283705,      1.160463
          5832,        163.30,          1458,  0.4927496330,  0.0014520292,     27.878962,      9.292987,      1.161623
          8752,        245.06,          2188,  0.4930600510,  0.0014513072,     27.865098,      9.288366,      1.161046
         13128,        367.58,          3282,  0.4963570150,  0.0014797478,     28.411157,      9.470386,      1.183798
         19696,        551.49,          4924,  0.4983091420,  0.0015036264,     28.869626,      9.623209,      1.202901
         29544,        827.23,          7386,  0.4993649780,  0.0015088748,     28.970397,      9.656799,      1.207100
         44320,       1240.96,         11080,  0.5001069540,  0.0024054576,     46.184786,     15.394929,      1.924366
         66480,       1861.44,         16620,  0.4918214850,  0.0027594318,     52.981091,     17.660364,      2.207545
         99720,       2792.16,         24930,  0.4995662040,  0.0037081341,     71.196175,     23.732058,      2.966507
        149584,       4188.35,         37396,  0.5001255260,  0.0040137367,     77.063744,     25.687915,      3.210989
        224376,       6282.53,         56094,  0.4997960280,  0.0040135014,     77.059226,     25.686409,      3.210801
        336568,       9423.90,         84142,  0.4987569820,  0.0040159639,     77.106507,     25.702169,      3.212771
        504856,      14135.97,        126214,  0.4991397400,  0.0040190140,     77.165069,     25.721690,      3.215211
        757288,      21204.06,        189322,  0.4961797580,  0.0040196697,     77.177657,     25.725886,      3.215736
       1135936,      31806.21,        283984,  0.4920290610,  0.0056993234,    109.427009,     36.475670,      4.559459
       1703904,      47709.31,        425976,  0.4990306810,  0.0079155373,    151.978317,     50.659439,      6.332430
       2555856,      71563.97,        638964,  0.4852495130,  0.0094928962,    182.263607,     60.754536,      7.594317
       3833784,     107345.95,        958446,  0.4735893450,  0.0102942103,    197.648838,     65.882946,      8.235368
       5750680,     161019.04,       1437670,  0.4956326090,  0.0107733479,    206.848279,     68.949426,      8.618678
       8626024,     241528.67,       2156506,  0.4775015560,  0.0110711854,    212.566760,     70.855587,      8.856948
      12939040,     362293.12,       3234760,  0.4325370370,  0.0111429451,    213.944546,     71.314849,      8.914356
      19408560,     543439.68,       4852140,  0.4344167030,  0.0111913687,    214.874280,     71.624760,      8.953095
      29112840,     815159.52,       7278210,  0.3266036870,  0.0112185444,    215.396052,     71.798684,      8.974835
      43669264,    1222739.39,      10917316,  0.4902241090,  0.0112258386,    215.536101,     71.845367,      8.980671
      65503896,    1834109.09,      16375974,  0.0000001350,           inf,           inf,           inf,           inf
INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,8,3,2.400000,64,8,8

             N,      Size(kB),       cut CLs,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,             0,  0.3342708110,  0.0009589012,     18.410903,      6.136968,      0.767121
           768,         21.50,             0,  0.4223760920,  0.0009701578,     18.627030,      6.209010,      0.776126
          1152,         32.26,             0,  0.4706592660,  0.0009726816,     18.675488,      6.225163,      0.778145
          1728,         48.38,             0,  0.4837627430,  0.0009940853,     19.086437,      6.362146,      0.795268
          2592,         72.58,             0,  0.4835360930,  0.0009770413,     18.759192,      6.253064,      0.781633
          3888,        108.86,             0,  0.4938630360,  0.0012098407,     23.228942,      7.742981,      0.967873
          5832,        163.30,             0,  0.4935201080,  0.0014114855,     27.100521,      9.033507,      1.129188
          8752,        245.06,             0,  0.4952809010,  0.0014099359,     27.070769,      9.023590,      1.127949
         13128,        367.58,             0,  0.4977494820,  0.0014605202,     28.041987,      9.347329,      1.168416
         19696,        551.49,             0,  0.4988033690,  0.0014964022,     28.730921,      9.576974,      1.197122
         29544,        827.23,             0,  0.4992343260,  0.0015105027,     29.001652,      9.667217,      1.208402
         44320,       1240.96,             0,  0.4980741330,  0.0015271280,     29.320857,      9.773619,      1.221702
         66480,       1861.44,             0,  0.4978908560,  0.0014556527,     27.948531,      9.316177,      1.164522
         99720,       2792.16,             0,  0.4991537730,  0.0024489008,     47.018896,     15.672965,      1.959121
        149584,       4188.35,             0,  0.4993703620,  0.0033789415,     64.875677,     21.625226,      2.703153
        224376,       6282.53,             0,  0.4992386340,  0.0036237933,     69.576831,     23.192277,      2.899035
        336568,       9423.90,             0,  0.4997528720,  0.0036215845,     69.534422,     23.178141,      2.897268
        504856,      14135.97,             0,  0.4985628210,  0.0036173432,     69.452990,     23.150997,      2.893875
        757288,      21204.06,             0,  0.4978446650,  0.0036320700,     69.735744,     23.245248,      2.905656
       1135936,      31806.21,             0,  0.4944162730,  0.0038517709,     73.954002,     24.651334,      3.081417
       1703904,      47709.31,             0,  0.4959877620,  0.0040998455,     78.717033,     26.239011,      3.279876
       2555856,      71563.97,             0,  0.4900196550,  0.0056389495,    108.267830,     36.089277,      4.511160
       3833784,     107345.95,             0,  0.4790494300,  0.0078096704,    149.945671,     49.981890,      6.247736
       5750680,     161019.04,             0,  0.4726984520,  0.0091331895,    175.357238,     58.452413,      7.306552
       8626024,     241528.67,             0,  0.4272672430,  0.0099064701,    190.204225,     63.401408,      7.925176
      12939040,     362293.12,             0,  0.3989923820,  0.0102787734,    197.352450,     65.784150,      8.223019
      19408560,     543439.68,             0,  0.4030709480,  0.0103838448,    199.369819,     66.456606,      8.307076
      29112840,     815159.52,             0,  0.3041731610,  0.0104480759,    200.603057,     66.867686,      8.358461
      43669264,    1222739.39,             0,  0.4569546780,  0.0104639885,    200.908580,     66.969527,      8.371191
      65503896,    1834109.09,             0,  0.0000000630,           inf,           inf,           inf,           inf
