iwia021h@broadep2:~/repo/MD-Bench/ICC$ /home/hpc/iwia/iwia021h/.local/bin/osaca --arch BDW force.s --ignore-unknown
Open Source Architecture Code Analyzer (OSACA) - 0.4.6
Analyzed file:      force.s
Architecture:       BDW
Timestamp:          2021-10-18 19:19:44


 P - Throughput of LOAD operation can be hidden behind a past or future STORE instruction
 * - Instruction micro-ops not bound to a port
 X - No throughput/latency information for this instruction in data file


Combined Analysis Report
------------------------
                                      Port pressure in cycles                                       
     |  0   -  0DV  |  1   |  2   -  2D  |  3   -  3D  |  4   |  5   |  6   |  7   ||  CP  | LCD  |
14482 | 0.25         | 0.75 |             |             |      |      |      |      ||  5.0 |      |   vfmadd231pd %ymm0, %ymm0, %ymm14                        #181.71
14483 |              |      |             |             |      |      |      |      ||      |      | X vcmpltpd  %ymm5, %ymm14, %ymm1                          #197.30
14484 |              | 0.00 |             |             |      | 1.00 |      |      ||      |      |   vpcmpeqd  %ymm7, %ymm7, %ymm7                           #197.30
14485 | 1.00         |      |             |             |      | 1.00 |      |      ||      |      |   vptest    %ymm7, %ymm1                                  #197.30
14486 |              |      |             |             |      |      |      |      ||      |      | X je        ..B1.29       # Prob 50%                      #197.30
14487 |              |      |             |             |      |      |      |      ||      |      |   # LOE rax rdx rcx rsi rdi r10 r11 r12 r13 r14d ymm0 ymm1 ymm2 ymm3 ymm4 ymm5 ymm6 ymm8 ymm9 ymm10 ymm11 ymm12 ymm13 ymm14
14488 |              |      |             |             |      |      |      |      ||      |      |   ..B1.28:                        # Preds ..B1.27
14489 |              |      |             |             |      |      |      |      ||      |      |   # Execution count [1.00e+01]: Infreq
14490 | 2.50   16.00 | 0.50 |             |             |      |      |      |      || 23.0 |      |   vdivpd    %ymm14, %ymm4, %ymm7                          #198.46
14491 | 0.50         | 0.50 | 0.50   0.50 | 0.50   0.50 |      |      |      |      ||  3.0 |      |   vmulpd    128(%rsp), %ymm7, %ymm14                      #199.46[spill]
14492 | 0.50         | 0.50 |             |             |      |      |      |      ||  3.0 |      |   vmulpd    %ymm14, %ymm7, %ymm14                         #199.52
14493 | 0.50         | 0.50 |             |             |      |      |      |      ||  3.0 |      |   vmulpd    %ymm14, %ymm7, %ymm15                         #199.58
14494 | 0.50         | 0.50 |             |             |      |      |      |      ||      |      |   vfmsub213pd %ymm3, %ymm7, %ymm14                        #200.62
14495 | 0.50         | 0.50 | 0.50   0.50 | 0.50   0.50 |      |      |      |      ||      |      |   vmulpd    96(%rsp), %ymm7, %ymm7                        #200.62[spill]
14496 | 0.50         | 0.50 |             |             |      |      |      |      ||  3.0 |      |   vmulpd    %ymm7, %ymm15, %ymm15                         #200.69
14497 | 0.50         | 0.50 |             |             |      |      |      |      ||  3.0 |      |   vmulpd    %ymm14, %ymm15, %ymm7                         #200.75
14498 | 0.75         | 0.25 |             |             |      |      |      |      ||      |      |   vmulpd    %ymm7, %ymm6, %ymm6                           #201.39
14499 | 1.00         | 0.00 |             |             |      |      |      |      ||      |      |   vmulpd    %ymm7, %ymm2, %ymm2                           #202.39
14500 |              |      |             |             |      | 1.00 |      |      ||      |      |   vandpd    %ymm6, %ymm1, %ymm6                           #201.39
14501 |              | 1.00 |             |             |      |      |      |      ||      |      |   vaddpd    %ymm6, %ymm13, %ymm13                         #201.25
14502 | 1.00         | 0.00 |             |             |      |      |      |      ||  3.0 |      |   vmulpd    %ymm7, %ymm0, %ymm6                           #203.39
14503 |              |      |             |             |      | 1.00 |      |      ||      |      |   vandpd    %ymm2, %ymm1, %ymm0                           #202.39
14504 |              |      |             |             |      | 1.00 |      |      ||  1.0 |      |   vandpd    %ymm6, %ymm1, %ymm1                           #203.39
14505 |              | 1.00 |             |             |      |      |      |      ||      |      |   vaddpd    %ymm0, %ymm12, %ymm12                         #202.25
14506 |              | 1.00 |             |             |      |      |      |      ||  0.0 |  3.0 |   vaddpd    %ymm1, %ymm11, %ymm11                         #203.25
14507 |              |      |             |             |      |      |      |      ||      |      |   # LOE rax rdx rcx rsi rdi r10 r11 r12 r13 r14d ymm3 ymm4 ymm5 ymm8 ymm9 ymm10 ymm11 ymm12 ymm13
14508 |              |      |             |             |      |      |      |      ||      |      |   ..B1.29:                        # Preds ..B1.28 ..B1.27
14509 |              |      |             |             |      |      |      |      ||      |      |   # Execution count [2.00e+01]: Infreq
14510 | 0.00         | 0.00 |             |             |      | 0.00 | 1.00 |      ||      |      |   addq      $4, %r13                                      #176.17
14511 | 0.00         | 0.00 |             |             |      | 0.00 | 1.00 |      ||      |      |   cmpq      %r12, %r13                                    #176.17
14512 |              |      |             |             |      |      |      |      ||      |      | * jb        ..B1.27       # Prob 82%                      #176.17
14513 |              |      |             |             |      |      |      |      ||      |      |   # LOE rax rdx rcx rsi rdi r10 r11 r12 r13 r14d ymm3 ymm4 ymm5 ymm8 ymm9 ymm10 ymm11 ymm12 ymm13

       14.0   16.00   14.0   5.50   5.50   5.50   5.50          14.0   10.0           72.0   3.0  
